Score,Metrics,Method
0.765113451,Kappa,VAE
0.760102351,Kappa,VAE
0.757019396,Kappa,VAE
0.752568376,Kappa,VAE
0.736835105,Kappa,VAE
0.723697307,Kappa,VAE
0.701145717,Kappa,VAE
0.703730845,Kappa,VAE
0.649762969,Kappa,VAE
0.547314634,Kappa,VAE
0.856124969,Accuracy,DenoisingAE
0.852888071,Accuracy,DenoisingAE
0.852874071,Accuracy,DenoisingAE
0.836301768,Accuracy,DenoisingAE
0.834471596,Accuracy,DenoisingAE
0.822968198,Accuracy,DenoisingAE
0.804549685,Accuracy,DenoisingAE
0.789946034,Accuracy,DenoisingAE
0.740092044,Accuracy,DenoisingAE
0.736021682,Accuracy,DenoisingAE
0.612473864,Accuracy,DenoisingAE
0.504173334,Accuracy,DenoisingAE
0.852582141,F1-Score,DenoisingAE
0.850016528,F1-Score,DenoisingAE
0.84705025,F1-Score,DenoisingAE
0.837337365,F1-Score,DenoisingAE
0.834849185,F1-Score,DenoisingAE
0.824592143,F1-Score,DenoisingAE
0.80562107,F1-Score,DenoisingAE
0.785035369,F1-Score,DenoisingAE
0.73735978,F1-Score,DenoisingAE
0.751252616,F1-Score,DenoisingAE
0.554766603,F1-Score,DenoisingAE
0.339709207,F1-Score,DenoisingAE
0.856124969,Recall,DenoisingAE
0.852888071,Recall,DenoisingAE
0.852874071,Recall,DenoisingAE
0.836301768,Recall,DenoisingAE
0.834471596,Recall,DenoisingAE
0.822968198,Recall,DenoisingAE
0.804549685,Recall,DenoisingAE
0.789946034,Recall,DenoisingAE
0.740092044,Recall,DenoisingAE
0.736021682,Recall,DenoisingAE
0.612473864,Recall,DenoisingAE
0.504173334,Recall,DenoisingAE
0.8606805,Precision,DenoisingAE
0.854136021,Precision,DenoisingAE
0.851244211,Precision,DenoisingAE
0.844826344,Precision,DenoisingAE
0.842285137,Precision,DenoisingAE
0.831551802,Precision,DenoisingAE
0.814573433,Precision,DenoisingAE
0.792634426,Precision,DenoisingAE
0.740991487,Precision,DenoisingAE
0.807137769,Precision,DenoisingAE
0.648632685,Precision,DenoisingAE
0.297596262,Precision,DenoisingAE
0.970228702,AUC,DenoisingAE
0.968223164,AUC,DenoisingAE
0.967105374,AUC,DenoisingAE
0.958713475,AUC,DenoisingAE
0.956757824,AUC,DenoisingAE
0.946138936,AUC,DenoisingAE
0.928407435,AUC,DenoisingAE
0.848335142,AUC,DenoisingAE
0.779921604,AUC,DenoisingAE
0.909890199,AUC,DenoisingAE
0.865379562,AUC,DenoisingAE
0.893200764,AUC,DenoisingAE
0.781341584,MCC,DenoisingAE
0.774058793,MCC,DenoisingAE
0.772482774,MCC,DenoisingAE
0.751005312,MCC,DenoisingAE
0.747344364,MCC,DenoisingAE
0.730110267,MCC,DenoisingAE
0.703046477,MCC,DenoisingAE
0.678740248,MCC,DenoisingAE
0.61010748,MCC,DenoisingAE
0.640648043,MCC,DenoisingAE
0.494945973,MCC,DenoisingAE
0.020493612,MCC,DenoisingAE
0.779034819,Kappa,DenoisingAE
0.772253973,Kappa,DenoisingAE
0.770289638,Kappa,DenoisingAE
0.749403708,Kappa,DenoisingAE
0.745668971,Kappa,DenoisingAE
0.728858584,Kappa,DenoisingAE
0.701158329,Kappa,DenoisingAE
0.674920539,Kappa,DenoisingAE
0.607146291,Kappa,DenoisingAE
0.625374836,Kappa,DenoisingAE
0.44413191,Kappa,DenoisingAE
0.004250069,Kappa,DenoisingAE
