Epoch,AAE Train (Single Layer),AAE Validation (Single Layer),AAE Train (Two Layer),AAE Validation (Two Layer),AAE Train (Three Layer),AAE Validation (Three Layer)
42,13.12016881,13.12297436,12.96565655,12.97264782,12.96372222,12.97011398
43,13.11545377,13.11845982,12.96539242,12.97239623,12.9635737,12.96997233
44,13.11094855,13.11414656,12.96514435,12.9721595,12.96343407,12.96983737
45,13.10664276,13.11002283,12.96491129,12.97193601,12.96330151,12.96971224
46,13.10252348,13.1060774,12.96469227,12.97172705,12.96317686,12.96959318
47,13.09858002,13.10230093,12.96448616,12.97152976,12.96305986,12.969479
48,13.09480478,13.09868157,12.96429122,12.97134222,12.96294941,12.96937359
49,13.09118648,13.09521465,12.9641079,12.97116591,12.96284322,12.96927107
50,13.08771764,13.09188923,12.96393492,12.97099947,12.96274318,12.96917554
51,13.08438993,13.08869836,12.96377013,12.97084097,12.96264797,12.96908394
52,13.08119629,13.08563553,12.96361387,12.97069021,12.96255747,12.96899668
53,13.07812861,13.08269312,12.96346587,12.97054899,12.96247066,12.96891312
54,13.07518101,13.0798666,12.96332503,12.97041214,12.962388,12.96883277
55,13.07234925,13.07714829,12.96319238,12.97028281,12.96230972,12.96875844
56,13.06962379,13.07453315,12.96306391,12.97015982,12.96223471,12.96868487
57,13.06700188,13.07201659,12.96294305,12.9700412,12.96216223,12.96861531
58,13.06447811,13.06959248,12.96282651,12.96992915,12.96209285,12.96854808
59,13.062047,13.06725762,12.96271529,12.9698229,12.96202591,12.96848194
60,13.05970439,13.06500907,12.9626101,12.96971946,12.96196088,12.96841855
61,13.05744477,13.06283855,12.96250854,12.96962118,12.96189856,12.96835642
62,13.05526701,13.0607451,12.96241203,12.96952713,12.96183579,12.96829399
63,13.05316506,13.05872607,12.96231945,12.9694364,12.96177229,12.96822658
64,13.05113637,13.05677564,12.96223003,12.96935074,12.96170414,12.96815273
65,13.04917682,13.05489199,12.96214512,12.96926687,12.9616318,12.96807192
66,13.04728273,13.05307207,12.96206259,12.96918685,12.96155804,12.96799057
67,13.04545326,13.05131322,12.96198392,12.96911,12.96149012,12.96791481
68,13.04368412,13.04961065,12.96190741,12.96903567,12.96142507,12.96784129
69,13.04197243,13.04796429,12.961834,12.96896412,12.96136133,12.9677687
70,13.04031591,13.04637072,12.96176405,12.96889573,12.96129547,12.96769603
71,13.03871324,13.04482868,12.961696,12.96882873,12.96122798,12.96761597
72,13.03716038,13.04333434,12.96163045,12.96876702,12.96115103,12.96751975
73,13.03565633,13.04188603,12.96156712,12.96870321,12.96104929,12.96737668
74,13.03419891,13.04048246,12.96150691,12.9686447,12.96091219,12.96721599
75,13.03278517,13.03912236,12.9614478,12.96858639,12.96079302,12.9670869
76,13.0314155,13.03780361,12.96139037,12.96853169,12.96069185,12.96696516
77,13.03008663,13.03652303,12.96133575,12.96847784,12.96058938,12.96684316
78,13.02879642,13.03527978,12.96128255,12.96842483,12.96048237,12.9667184
79,13.02754406,13.03407342,12.96123151,12.96837437,12.96036897,12.9665876
80,13.02632797,13.03290183,12.9611813,12.96832517,12.96024916,12.96645403
81,13.0251469,13.03176396,12.96113341,12.9682796,12.96012349,12.96631271
82,13.0239998,13.0306575,12.96108624,12.96823306,12.95998939,12.96616377
